"name","artists","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"Chica Brasileña - Remix","El Super Hobby, Tomi Narbondo, Laguna","156193","Chica Brasileña (Remix)","2023-12-22","0.714","0.902","9","-5.05","0","0.0718","0.407","0.0","0.12","0.919","96.925"
"Lace It (with Eminem & benny blanco)","Juice WRLD, Eminem, benny blanco","217526","Lace It (with Eminem & benny blanco)","2023-12-16","0.773","0.597","2","-7.138","1","0.309","0.194","0.0","0.22","0.305","160.101"
"Шукав тебе. Знайшов тебе","VovaZiLvova, Morphom","167999","Маленький український реп альманах","2023-12-29","0.711","0.6","0","-10.639","1","0.141","0.419","1.33e-06","0.0843","0.201","112.126"
"Žralok","Rytmus, Mega M, Bobby blaze","187307","Bengoro II","2023-12-15","0.782","0.829","10","-4.548","0","0.308","0.216","0.0","0.0662","0.773","94.004"
"Blood Sport","Rytmus, Loko Loko","165600","Bengoro II","2023-12-15","0.91","0.556","0","-7.125","0","0.276","0.464","0.0","0.102","0.53","99.975"
"SIKINA","DABAB","145263","SIKINA","2023-11-24","0.673","0.875","7","-8.296","0","0.0324","0.235","0.0","0.428","0.732","94.954"
"Ser du månen där du är ikväll? (Tillsammans igen)","Thomas Stenström","240000","Ser du månen där du är ikväll? (Tillsammans igen)","2020-12-04","0.469","0.382","4","-7.372","1","0.0259","0.658","0.0","0.135","0.45","95.072"
"Slow Dancing (Piano Ver.)","V","188093","Layover","2023-09-08","0.609","0.614","8","-8.154","1","0.0699","0.366","0.00108","0.108","0.564","156.019"
"MERG PE STRADA","Robi, Aerozen, Ian","138500","COLDMODE","2023-12-28","0.706","0.459","11","-9.959","1","0.0509","0.0659","8.49e-05","0.132","0.217","131.847"
"22GOTGUAP","Robi, Aerozen, Lil Alex","154137","COLDMODE","2023-12-28","0.865","0.791","5","-4.79","1","0.0798","0.000642","1.43e-05","0.127","0.584","115.996"
"SENZATIE","Robi, Aerozen, Dani","138461","COLDMODE","2023-12-28","0.782","0.695","1","-7.199","1","0.138","0.0758","0.0","0.113","0.153","156.012"
"PANICA","Robi, Aerozen, BLANCO","198646","COLDMODE","2023-12-28","0.666","0.66","8","-8.725","1","0.24","0.0426","1.03e-06","0.176","0.119","147.848"
"Mas Rica Que Ayer","Anuel AA, Mambo Kingz, DJ Luian","199148","Mas Rica Que Ayer","2023-03-02","0.818","0.666","11","-5.319","1","0.0759","0.343","0.0","0.0922","0.529","93.95"
"DZIEŃ ŚWIRA (outro)","Mata","294545","2038: WARSZAWA","2023-12-29","0.736","0.673","11","-8.893","0","0.299","0.35","1.86e-06","0.136","0.897","88.036"
"beze mnie luv x sosa type beat (pilot - 29.12.2038)","CBW, Mata","105756","2038: WARSZAWA","2023-12-29","0.667","0.83","1","-6.332","0","0.0339","0.0107","0.0032","0.101","0.216","126.998"
"Tyrka","Qry","126279","Tyrka","2023-12-19","0.57","0.726","4","-6.563","1","0.155","0.72","4.77e-06","0.331","0.712","171.903"
"Degeneración Actual","Pedro Suárez-Vértiz","316026","Degeneracion Actual","2001-04-27","0.763","0.891","0","-5.351","1","0.0398","0.277","1.26e-06","0.0913","0.947","141.989"
"Me Elevé","Pedro Suárez-Vértiz","220680","(No Existen) Técnicas para Olvidar","1995-01-01","0.566","0.24","0","-16.408","1","0.0323","0.845","0.000172","0.116","0.238","125.511"
"Når Snøen Smelter - fra Tre nøtter til Askepott","Astrid S","157235","Når Snøen Smelter (fra Tre nøtter til Askepott)","2021-11-04","0.465","0.373","11","-8.897","1","0.0275","0.762","6.91e-06","0.178","0.158","88.974"
"Selmas sang (fra Snøfall)","Eva Weel Skram","208427","Selmas sang (fra Snøfall)","2016-01-01","0.428","0.521","0","-6.242","0","0.0308","0.183","4.89e-05","0.289","0.216","88.323"
"Mot lys (fra Snøfall)","Inge Bremnes","170924","Mot lys (fra Snøfall)","2023-11-17","0.504","0.394","7","-8.8","1","0.0281","0.675","3.97e-05","0.134","0.421","150.021"
"Himmel På Jord","Kurt Nilsen, The Norwegian Radio Orchestra","214946","Have Yourself A Merry Little Christmas","2010-11-15","0.297","0.223","2","-9.401","1","0.0326","0.877","0.0","0.112","0.363","80.921"
"That's A Lie","Alessio, DJ DYLVN, Ronnie Flex, Chivv, ADF Samski","165696","That's A Lie","2023-12-28","0.736","0.649","0","-7.756","0","0.127","0.00499","0.0","0.4","0.532","142.0"
"Freestyle","Lijpe, Trobi","144000","Freestyle","2023-12-22","0.78","0.697","3","-3.817","0","0.1","0.754","0.0","0.23","0.402","95.048"
"Tanger","Ashafar, Lijpe, Henkie T","206761","Tanger","2023-12-28","0.719","0.63","1","-6.473","0","0.216","0.274","0.000495","0.111","0.582","159.992"
"Wahala","Naira Marley","160000","Wahala","2023-12-29","0.941","0.742","2","-6.68","1","0.0756","0.0117","0.00227","0.085","0.425","114.012"
"Red Potion","Rema","174033","RAVAGE","2023-10-26","0.71","0.796","6","-5.04","0","0.0339","0.169","2.67e-05","0.106","0.616","101.957"
"Žiburiai","Jessica Shy","184421","Pasaka","2023-03-10","0.663","0.422","0","-9.118","1","0.0285","0.478","2.8e-05","0.127","0.158","95.05"
"NUOTYKIS","Proflame","161433","PASAKA","2023-01-13","0.817","0.356","11","-13.342","0","0.376","0.579","0.0047","0.132","0.231","118.993"
"Космос","Skryptonite, Charusha","227691","Romantic Collection","2023-12-29","0.518","0.489","0","-12.355","0","0.172","0.477","2.38e-06","0.531","0.539","77.847"
"The First Snow","EXO","207667","Miracles in December","2013-12-09","0.636","0.674","7","-6.623","0","0.0444","0.00542","0.0","0.145","0.814","82.985"
"ヒロイン","back number","269786","シャンデリア","2015-12-09","0.431","0.598","7","-3.733","1","0.0296","0.209","0.0","0.218","0.356","76.18"
"Momenti No","Sfera Ebbasta, Tedua","192611","X2VR","2023-11-17","0.66","0.669","7","-6.929","0","0.0966","0.606","0.0","0.117","0.238","78.653"
"Þú Komst Með Jólin Til Mín","ICEGUYS","212526","Þessi Týpísku Jól","2023-11-10","0.684","0.611","5","-5.845","1","0.0242","0.204","0.0","0.111","0.609","94.998"
"Humdard (From ""Ek Villain"")","Arijit Singh","260590","Ultimate Love Songs - Arijit Singh","2020-05-19","0.575","0.541","5","-6.45","1","0.0237","0.759","0.0","0.111","0.27","87.022"
"מה אעשה","Eviatar Banai","200826","עוגן במים","2023-12-25","0.535","0.186","6","-9.07","0","0.037","0.809","0.000102","0.0962","0.223","118.95"
"Visszasírtok Még Engem","T. Danny","199615","EZER NAP","2023-12-23","0.834","0.633","10","-4.722","0","0.0354","0.154","2.26e-06","0.108","0.279","130.048"
"Oh Shit","Ggreco, Kess","203708","Oh Shit","2023-12-17","0.752","0.714","0","-8.185","0","0.165","0.16","6.05e-05","0.371","0.479","105.008"
"Aïcha","Djadja & Dinaz","206684","Aïcha","2023-12-15","0.715","0.535","1","-4.948","0","0.0795","0.371","0.0","0.125","0.363","94.006"
"Nousuhumala (feat. Aarne Tenkanen)","Faija, Aarne Tenkanen","217533","Nousuhumala (feat. Aarne Tenkanen)","2023-12-29","0.65","0.856","4","-6.246","0","0.0284","0.0798","0.0","0.112","0.895","129.988"
"Anna mulle mitä vaan","KUUMAA","147811","Hyvikset ja pahikset","2023-03-30","0.609","0.823","2","-7.163","1","0.0383","0.0181","0.0293","0.0451","0.543","160.049"
"Minna","Arttu Wiskari","224682","Minna","2023-12-01","0.672","0.839","5","-6.277","1","0.0277","0.0229","0.0","0.343","0.911","123.987"
"Corazón Roto pt. 3","Brray, Anuel AA, Chencho Corleone, Jhayco, Ryan Castro","348400","Corazón Roto pt. 3","2023-09-08","0.841","0.741","1","-4.89","0","0.048","0.363","2.37e-06","0.0987","0.849","92.988"
"Vi 1","Tobias Rahim","169599","Vi 1","2023-06-02","0.685","0.828","0","-5.441","1","0.0391","0.138","0.0","0.171","0.411","129.994"
"Tudo Bem (feat. Gilli)","Benny Jamz, Gilli","130493","Ny Sejr","2023-05-04","0.869","0.652","0","-6.9","0","0.086","0.0512","3.51e-06","0.274","0.567","128.047"
"Niagara","MADE, SHABAB","139636","Niagara","2023-12-29","0.796","0.499","11","-9.109","0","0.0576","0.00234","1.16e-05","0.102","0.324","110.016"
"Erster Song","Pashanim","144386","Tage vor 2000","2023-12-21","0.727","0.41","1","-7.996","1","0.376","0.33","0.00188","0.136","0.264","89.001"
"Spadla klec","CA$HANOVA BULHAR","154010","FLEX SYMBOL","2023-12-24","0.797","0.597","1","-8.295","1","0.138","0.299","0.00157","0.109","0.252","93.47"
"UNA EN UN MILLÓN","Jere Klein","155011","ÉNFASIS","2023-12-01","0.46","0.683","2","-6.429","0","0.0708","0.0139","0.0","0.08","0.406","96.276"
"ANDA SOLITA","Ak4:20, Gino Mella","202886","ANDA SOLITA","2023-08-20","0.823","0.788","9","-5.228","0","0.121","0.123","0.0","0.114","0.747","97.001"
"MAZNA","Dimoff","121297","MAZNA","2023-06-16","0.764","0.928","10","-4.123","0","0.313","0.108","0.0","0.162","0.713","92.94"
"ĐĐĐ","Wren Evans, itsnk","217150","LOI CHOI: The Neo Pop Punk","2023-12-17","0.578","0.835","11","-9.434","0","0.0512","0.436","0.0198","0.176","0.127","168.072"
"И Я ВЕСЬ ГОРЮ","kizaru","159503","И Я ВЕСЬ ГОРЮ","2023-12-29","0.825","0.848","1","-5.293","0","0.0998","0.00169","0.000259","0.101","0.0456","160.049"
"Kobra Rap","Peter Kutka","224835","Kobra Rap","2023-12-29","0.502","0.795","0","-6.565","1","0.207","0.00691","0.0","0.533","0.517","90.818"
"Cigán","Rytmus","172663","Bengoro II","2023-12-15","0.624","0.791","10","-6.166","0","0.307","0.275","0.0","0.2","0.902","86.826"
"Dum","Bolaget","168827","Dum","2020-10-21","0.603","0.44","1","-11.307","0","0.057","0.502","0.0","0.143","0.755","144.961"
"51 - Freestyle","Sarettii","124077","Gore-Tex, Vol. 1 (Freestyle)","2023-12-26","0.748","0.662","6","-8.016","0","0.208","0.172","0.0","0.13","0.765","102.933"
"SUPER FRIG","Robi, Aerozen, FLORIS, BLANCO","142080","COLDMODE","2023-12-28","0.774","0.46","0","-6.279","1","0.0485","0.000792","0.0","0.134","0.0495","125.029"
"BALENCI","RAVA","102580","FLAWLE$$ - EP","2023-12-27","0.702","0.659","1","-6.369","1","0.148","0.348","0.0","0.407","0.155","123.959"
"Colãs","Dillaz","193170","Colãs","2023-08-09","0.675","0.671","11","-8.672","0","0.145","0.448","0.00196","0.136","0.682","164.039"
"Spaceship","Malik Montana, Rowdy Rebel","134240","Spaceship","2023-12-08","0.731","0.567","2","-6.947","1","0.259","0.161","0.0","0.163","0.522","80.116"
"Alquien Que Bese Como Tu","Pedro Suárez-Vértiz","366226","Degeneracion Actual","2001-04-27","0.678","0.512","2","-10.803","1","0.0294","0.0858","0.07","0.0343","0.472","98.992"
"Si Escuchas a un Angel","Pedro Suárez-Vértiz","181440","(No Existen) Técnicas para Olvidar","1995-01-01","0.763","0.529","0","-13.75","1","0.0338","0.0432","0.0257","0.0944","0.963","107.205"
"Hey Ho","Freddy Kalas","174946","Hey Ho","2015-11-01","0.726","0.589","7","-5.894","1","0.051","0.226","0.0","0.07","0.607","79.987"
"Home for Christmas","Maria Mena","232000","Home For Christmas","2010-09-07","0.513","0.144","3","-15.021","1","0.0454","0.926","0.0","0.117","0.429","134.03"
"Jul i svingen","Ingebjørg Bratland, Ina Svenningdal","216080","Klokkene kallar","2020-11-20","0.539","0.33","9","-8.821","1","0.025","0.465","1.39e-05","0.0665","0.574","145.941"
"Speciaal","Frenna, Boef, DJ Madam Julie, Kaeh","211272","Francis","2018-11-23","0.717","0.537","7","-7.413","0","0.158","0.37","0.00121","0.172","0.569","195.782"
"Otro Show","Uzielito Mix, El Bogueto, Dani Flow","160800","Otro Show","2023-09-09","0.824","0.945","1","-1.9","1","0.0424","0.0684","3.39e-06","0.14","0.961","100.014"
"TRIPOLAIRE","Bo9al","193410","SBITAR","2023-12-28","0.753","0.503","1","-6.655","1","0.476","0.431","0.0","0.16","0.276","139.859"
"ALLIGATOR","Bo9al","236599","SBITAR","2023-12-28","0.592","0.638","7","-6.781","1","0.56","0.15","0.0","0.684","0.539","137.862"
"All I Want For Christmas Is You","EVN BTTR","200625","All I Want For Christmas Is You","2021-12-09","0.55","0.426","1","-8.194","1","0.0304","0.393","0.0","0.0868","0.198","127.973"
"Me Hipnotizas","Pynappol","259900","Me Hipnotizas","2023-12-27","0.761","0.803","11","-5.092","0","0.139","0.0876","0.00691","0.264","0.634","133.028"
"2013","dj nevykele","161777","2013","2023-12-28","0.519","0.699","7","-8.089","0","0.0398","0.0407","0.0","0.0928","0.541","135.047"
"A TE E FAMIGLIA","Salmo","171461","A TE E FAMIGLIA","2023-12-29","0.762","0.69","8","-5.47","1","0.129","0.0301","2.04e-05","0.108","0.413","129.991"
"אל תפחד","Eviatar Banai","251881","עוגן במים","2023-12-25","0.449","0.245","7","-12.623","1","0.036","0.898","0.00067","0.129","0.283","147.293"
"追","Keung To","313944","追","2023-03-16","0.384","0.373","0","-7.503","1","0.0305","0.761","2.38e-06","0.113","0.229","177.818"
"Bi Saraha","Abeer Nehme","199864","Bi Saraha","2022-11-15","0.523","0.531","8","-5.629","1","0.0401","0.675","0.0","0.072","0.263","148.066"
"Straße studiert","1019, Lucio101, Omar101, Nizi19","132040","Straße studiert","2023-12-29","0.772","0.55","1","-9.105","1","0.362","0.276","0.00149","0.109","0.425","101.937"
"BLEI","YAKARY, PA Sports","160740","BLEI","2023-12-22","0.575","0.697","5","-5.917","0","0.202","0.227","0.00507","0.0624","0.836","162.09"
"Ich feier den scheiss","Olexesh, AJÉ","147264","Ich feier den scheiss","2023-12-28","0.928","0.49","7","-6.427","1","0.116","0.00185","0.021","0.142","0.409","119.981"
"LOCKED IN","P T K","188000","LOCKED IN","2023-12-22","0.719","0.781","1","-5.979","1","0.116","0.0149","0.0","0.112","0.229","163.973"
"BeReal","CA$HANOVA BULHAR","130000","FLEX SYMBOL","2023-12-24","0.732","0.67","9","-6.605","0","0.323","0.435","0.0011","0.109","0.427","96.176"
"БЕСИТСЯ","Toxi$, Big Baby Tape","146920","HOTSHOT","2023-12-01","0.789","0.512","6","-6.649","1","0.0609","0.259","0.0","0.103","0.694","147.034"
"Sartse ot lego","Djena","216338","Sartse ot lego","2023-02-08","0.727","0.926","6","-2.51","1","0.0597","0.0743","0.0","0.342","0.869","141.966"
"Are You Gone Already","Nicki Minaj","270860","Pink Friday 2","2023-12-07","0.553","0.202","8","-14.446","1","0.205","0.87","0.000981","0.154","0.145","157.579"
"Buồn Hay Vui (feat. RPT MCK, Obito & Ronboogz)","VSOUL, RPT MCK, Obito, Ronboogz, Boyzed","291750","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)","2023-12-25","0.548","0.611","5","-8.065","0","0.0837","0.266","0.0","0.174","0.401","79.837"
"Hey Driver (feat. The War and Treaty)","Zach Bryan, The War and Treaty","227466","Zach Bryan","2023-08-25","0.583","0.351","0","-5.836","1","0.0306","0.494","0.0","0.368","0.462","79.014"
"Повільно","Adam","166500","Повільно","2023-01-15","0.611","0.213","5","-9.646","0","0.0458","0.958","1.01e-06","0.12","0.481","106.481"
"Pirâmide","Slow J","148995","Afro Fado","2023-11-24","0.649","0.459","2","-9.693","0","0.219","0.522","0.000263","0.1","0.641","122.221"
"Sol","Van Zee","220336","do.mar","2023-12-01","0.775","0.433","2","-11.373","1","0.173","0.874","0.095","0.133","0.12","98.058"
"Byłem człowiekiem","PRO8L3M","196106","PROXL3M","2023-11-30","0.516","0.707","9","-7.383","0","0.0914","0.462","4.02e-05","0.108","0.0632","119.604"
"Zawsze chciałem","Gibbs, Jonatan","184982","SAFE","2023-10-24","0.761","0.599","1","-7.738","0","0.0545","0.47","0.0","0.261","0.589","139.982"
"Driving Home for Christmas","Chris Rea","239946","New Light Through Old Windows","1988-10-17","0.603","0.705","9","-7.547","1","0.0328","0.556","0.000123","0.342","0.89","90.12"
"Når himmelen faller ned","Anne Grete Preus","233291","Mosaikk (16 Biter)","1998-11-02","0.314","0.558","4","-6.791","1","0.0273","0.0298","1.77e-06","0.436","0.353","76.975"
"Stjernesludd","Kurt Nilsen, The Norwegian Radio Orchestra","319813","Have Yourself A Merry Little Christmas","2010-11-15","0.347","0.283","2","-12.03","1","0.034","0.527","0.000102","0.0843","0.186","141.349"
"Merry Christmas","Ed Sheeran, Elton John","208546","Merry Christmas","2021-12-03","0.594","0.935","0","-2.018","1","0.0357","0.243","2.36e-06","0.102","0.602","113.99"
"Hjemme for meg","Emma Steinbakken","142403","Hjemme for meg","2023-11-10","0.635","0.217","0","-9.314","1","0.0269","0.84","0.0","0.304","0.379","86.959"
"Du er ikke alene","Victoria Nadine","172008","Du er ikke alene","2021-11-05","0.495","0.227","0","-8.578","0","0.0344","0.641","0.0","0.297","0.535","96.844"
"EXCESOS","Fuerza Regida","187076","Pa las Baby's Y Belikeada","2023-10-20","0.742","0.873","0","-5.913","0","0.0519","0.172","0.0","0.0857","0.796","128.053"
"Iori 6","Mons","309152","Iori 6","2023-12-22","0.507","0.488","1","-12.079","1","0.416","0.349","0.0","0.206","0.373","118.041"
"Better","Mari Vee, Benny The Butcher","176616","Better","2023-10-27","0.541","0.63","7","-10.087","0","0.136","0.0383","0.0","0.329","0.756","86.906"
"Mesmerise","Exarum","203530","Mesmerise","2023-05-12","0.623","0.917","8","-5.583","1","0.0356","0.00296","0.901","0.0767","0.142","124.991"
"Shot Glass of Tears","Jung Kook","167246","GOLDEN","2023-11-03","0.507","0.394","6","-7.188","0","0.035","0.508","0.0","0.0825","0.164","77.955"
"Það snjóar","Sigurður Guðmundsson, Memfismafían, Guðmundur Pálsson","166208","Nú stendur mikið til","2010-01-01","0.191","0.514","10","-8.632","1","0.035","0.498","0.0","0.125","0.305","61.357"
"Jólin eru að koma","Í svörtum fötum","172245","100 íslensk jólalög","2006-01-01","0.479","0.631","0","-14.307","1","0.0276","0.00694","0.0","0.113","0.64","144.019"
"Ef ég nenni","Helgi Björnsson","278593","Jólagestir 3","1995-01-01","0.447","0.569","8","-7.98","1","0.0254","0.0645","1.67e-06","0.0968","0.531","161.937"
"Ezer Nap","T. Danny, ByeAlex","203452","EZER NAP","2023-12-23","0.979","0.327","1","-13.827","1","0.0736","0.127","0.0138","0.136","0.812","126.029"
"Svise Ta Fota","Fy, Mad Clip","238733","Svise Ta Fota","2023-12-22","0.767","0.504","2","-8.242","1","0.367","0.0467","0.0","0.105","0.257","92.962"
"The Real Slim Shady","Eminem","284200","The Marshall Mathers LP","2000-05-23","0.949","0.661","5","-4.244","0","0.0572","0.0302","0.0","0.0454","0.76","104.504"
"Ennen vanhaan","Costi","203725","Coast to Costi","2023-11-16","0.673","0.843","8","-5.443","1","0.038","0.0474","0.00589","0.273","0.8","99.981"
"HALLILLE","Sexmane","211416","HALLILLE","2023-12-01","0.53","0.843","1","-3.528","1","0.104","0.0474","0.0","0.109","0.365","89.43"
"Joku muu - boi95 Remix","emma & matilda, boi95","188488","Joku muu (Remix)","2023-11-24","0.697","0.653","6","-7.147","0","0.106","0.469","0.728","0.123","0.219","130.984"
"VYYHTI (ettiny aitoo rakkaut)","ibe","156000","RÄPPÄRI","2023-11-03","0.877","0.681","7","-6.535","0","0.117","0.106","0.000286","0.0963","0.569","140.068"
"Hatwhashna","Tamer Ashour","200930","Hatwhashna","2022-11-02","0.676","0.84","1","-4.857","0","0.147","0.265","0.0","0.0955","0.88","171.962"
"Valdes Jul","Christopher","181507","New Christmas Songs 2023","2023-11-18","0.548","0.696","0","-3.684","1","0.0264","0.0168","0.0","0.204","0.379","105.963"
"Superstars","Jazeek","139234","Superstars","2023-06-30","0.658","0.623","5","-5.882","0","0.334","0.362","0.00556","0.11","0.386","150.435"
"Japan Trikot","Pashanim","135386","Tage vor 2000","2023-12-21","0.811","0.4","2","-12.691","0","0.099","0.455","0.000124","0.111","0.269","113.997"
"Scary Movie","CA$HANOVA BULHAR","194985","FLEX SYMBOL","2023-12-24","0.527","0.545","1","-7.7","1","0.0831","0.132","0.00954","0.452","0.132","149.73"
"Přízrak","CA$HANOVA BULHAR","154080","FLEX SYMBOL","2023-12-24","0.718","0.514","10","-11.222","1","0.252","0.229","0.613","0.122","0.283","125.029"
"Моя душа","Lely45","175303","Моя душа","2022-02-04","0.623","0.313","7","-7.719","0","0.0308","0.905","0.00018","0.074","0.0963","115.905"
"Under The Influence","Chris Brown","184613","Indigo (Extended)","2019-10-04","0.733","0.69","9","-5.529","0","0.0427","0.0635","1.18e-06","0.105","0.31","116.992"
"Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)","Emcee L (Da LAB), Da LAB, Badbies","234168","Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)","2020-12-29","0.494","0.395","6","-8.653","1","0.0301","0.887","1.43e-05","0.058","0.179","141.464"
"Знайди мене - KAVA Remix","Klavdia Petrivna, KAVA","138214","Знайди мене (KAVA Remix)","2023-10-15","0.638","0.497","1","-7.872","0","0.053","0.425","0.222","0.368","0.189","140.085"
"Be There For Me","NCT 127","217933","Be There For Me - Winter Special Single","2023-12-22","0.739","0.673","11","-5.562","1","0.0516","0.133","0.0","0.14","0.684","81.988"
"Bleeding","TalkinToys","202007","Bleeding","2022-07-01","0.608","0.443","9","-11.987","1","0.0381","0.771","0.00127","0.112","0.211","125.847"
"MILIARDE 2","Aerozen","235500","MILIARDE 2","2023-07-20","0.803","0.676","4","-7.605","0","0.143","0.183","8.37e-05","0.0945","0.449","108.047"
"ROSAS","Kappa Jotta, MUN","177272","ROSAS","2022-05-11","0.8","0.341","5","-9.329","0","0.0923","0.859","0.0","0.144","0.751","87.915"
"Jula Hjemme (feat. Trygve Skaug)","Maria Mena, Trygve Skaug","232106","Jula Hjemme (feat. Trygve Skaug)","2020-12-11","0.495","0.0594","3","-15.744","1","0.0375","0.941","0.0","0.181","0.36","134.041"
"ARABIA","ElGrandeToto","214186","27","2023-11-24","0.402","0.671","1","-7.916","0","0.271","0.544","0.0","0.0957","0.399","85.126"
"Unplugged - Spotify Singles","Madd, VALEN","176589","Unplugged (Spotify Singles)","2023-12-07","0.632","0.52","8","-9.341","0","0.156","0.376","8.17e-06","0.145","0.408","90.051"
"CHAINSOMNIA","Fat Mizzo","168000","CHAINSOMNIA","2023-12-16","0.902","0.483","1","-7.889","1","0.381","0.0959","1.19e-06","0.0881","0.248","120.004"
"Christmas Love","Jimin","197930","Christmas Love","2020-12-24","0.608","0.753","7","-5.333","1","0.0289","0.0948","0.0","0.0957","0.622","99.978"
"Why","Gen Hoshino","250333","Why / Life","2023-12-27","0.786","0.568","6","-4.541","1","0.03","0.045","1e-05","0.0846","0.602","99.02"
"Ég hlakka svo til","Svala, Björgvin Halldórsson","243853","Jólagestir Björgvins: Vinsælustu lögin 1987-2014","2015-01-01","0.621","0.64","1","-7.407","1","0.0263","0.0278","0.00224","0.053","0.611","98.039"
"Þú komst með jólin til mín","Björgvin Halldórsson, Ruth Reginalds","234960","Ég kem með jólin til þín","2020-11-26","0.436","0.544","10","-6.21","1","0.0266","0.0298","0.0","0.0946","0.197","180.102"
"Snæfinnur snjókarl","Björgvin Halldórsson","125341","Bestu jólalög Björgvins","1999-01-01","0.611","0.438","2","-10.668","1","0.0263","0.209","0.000153","0.285","0.623","93.506"
"Mann Mera","Gajendra Verma","200120","Table No. 21 (Original Motion Picture Soundtrack)","2012-12-21","0.535","0.765","1","-7.862","0","0.0444","0.054","0.0","0.0921","0.373","191.827"
"יש בך","Eviatar Banai","159124","עוגן במים","2023-12-25","0.399","0.0943","7","-13.887","0","0.0409","0.965","0.00141","0.11","0.142","97.294"
"שיר","Eviatar Banai","237875","עוגן במים","2023-12-25","0.359","0.15","0","-14.113","0","0.0322","0.945","0.0","0.0958","0.339","86.348"
"פנים מחוקות","Eviatar Banai","53288","עוגן במים","2023-12-25","0.718","0.205","5","-17.267","1","0.498","0.925","2.28e-06","0.133","0.81","121.718"
"אחרי החגים","Eviatar Banai","43915","עוגן במים","2023-12-25","0.453","0.0513","7","-21.939","1","0.0852","0.956","0.000306","0.0899","0.47","79.575"
"סינוס","Eviatar Banai","43619","עוגן במים","2023-12-25","0.634","0.116","8","-18.648","1","0.115","0.955","1.86e-06","0.209","0.843","90.875"
"מחפש את הכיוון","Eviatar Banai","200243","עוגן במים","2023-12-25","0.443","0.457","10","-8.227","1","0.0282","0.554","9.41e-05","0.168","0.675","142.026"
"שיר אהבה טרי","Eviatar Banai","213035","עוגן במים","2023-12-25","0.384","0.102","11","-14.981","0","0.0352","0.964","0.00882","0.0687","0.195","113.213"
"Do They Know It's Christmas? - 1984 Version","Band Aid","222533","Do They Know It’s Christmas?","1984-11-25","0.598","0.643","0","-6.933","1","0.0364","0.164","3.35e-05","0.0992","0.349","115.41"
"Happy Xmas (War Is Over) - Remastered 2010","John Lennon, Yoko Ono","214333","Signature Box","2010-10-05","0.321","0.64","2","-10.023","1","0.0324","0.28","0.0","0.718","0.414","146.172"
"Merry Christmas Everyone","Shakin' Stevens","220160","Merry Christmas Everyone","1991-11-25","0.534","0.904","9","-3.315","1","0.0369","0.129","0.0","0.128","0.96","202.899"
"Cincin","Hindia","266330","Lagipula Hidup Akan Berakhir","2023-07-07","0.531","0.882","4","-4.205","0","0.0559","0.00445","0.0","0.621","0.476","155.024"
"Kano Ena Tsigaro Kai Fevgo","Vasilis Karras","224000","Oneira","2007-04-19","0.73","0.722","7","-4.125","0","0.0298","0.282","0.0","0.347","0.762","130.087"
"Entrapreneur","Central Cee","144253","Entrapreneur","2023-12-21","0.724","0.711","7","-8.152","0","0.274","0.314","0.0","0.169","0.765","142.938"
"Filipiin","FMMB","270400","Filipiin","2023-07-21","0.616","0.932","10","-4.444","0","0.0503","0.00141","0.011","0.154","0.193","150.035"
"CYBERTRUCK","Bad Bunny","191959","nadie sabe lo que va a pasar mañana","2023-10-13","0.704","0.905","6","-4.948","0","0.338","0.371","2.09e-06","0.107","0.0991","151.823"
"Julehjertets Hemmelighed","Malte Ebert","189356","Julehjertets Hemmelighed","2022-11-11","0.581","0.519","2","-7.16","1","0.026","0.411","0.0","0.144","0.185","88.967"
"Tinka","Burhan G, Frida Brygmann","201920","Et Barn Af Jul","2019-11-15","0.565","0.639","4","-6.599","1","0.0301","0.385","0.0","0.105","0.427","90.981"
"Deixa Eu Amar Você","Fernando & Sorocaba","191833","On Fire","2023-10-27","0.569","0.869","10","-4.838","1","0.0609","0.289","0.0","0.952","0.459","175.866"
"Токсичен","Desi Slava","202857","Токсичен","2021-05-19","0.663","0.865","7","-5.742","0","0.0492","0.0419","0.0","0.323","0.812","167.954"
"Dve ochi / Dio matia","Djena, Sofia Danezi","190684","Dve ochi / Dio matia","2023-05-18","0.688","0.947","5","-2.606","1","0.0506","0.128","0.0","0.147","0.846","146.048"
"Mina Nawe","Soa Mattrix, Mashudu, Happy Jazzman, Emotionz DJ","351640","Mina Nawe","2022-08-19","0.875","0.871","5","-10.757","0","0.0458","0.0202","0.236","0.146","0.779","112.006"
"Uthando","Kelvin Momo, Sjava","444932","Kurhula","2023-12-08","0.845","0.268","5","-20.731","0","0.105","0.0347","0.00106","0.0769","0.229","113.002"
"TERESA","El Pandaa","203665","TERESA","2023-11-16","0.901","0.677","11","-5.075","0","0.152","0.13","0.0","0.076","0.675","115.053"
"A Holly Jolly Christmas","Burl Ives","135533","Have A Holly Jolly Christmas","1965-10-01","0.683","0.375","0","-13.056","1","0.0303","0.579","0.0","0.076","0.888","140.467"
